기인물,재해형태,사고건수,기인물전체건수,비중(%)
"지붕(처마,홈통)",떨어짐,126,129,97.7
비계,떨어짐,125,129,96.9
비계,맞음,2,129,1.6
"지붕(처마,홈통)",끼임,2,129,1.6
비계,무너짐,1,129,0.8
비계,절단 베임 찔림,1,129,0.8
"지붕(처마,홈통)",원인미상,1,129,0.8
철골(철골구조물),떨어짐,103,118,87.3
철골(철골구조물),무너짐,7,118,5.9
철골(철골구조물),깔림 뒤집힘,2,118,1.7
철골(철골구조물),끼임,2,118,1.7
철골(철골구조물),넘어짐,1,118,0.8
철골(철골구조물),맞음,1,118,0.8
철골(철골구조물),맞음(낙하물체),1,118,0.8
철골(철골구조물),부딪힘 접촉,1,118,0.8
사다리,떨어짐,112,116,96.6
사다리,감전,1,116,0.9
사다리,깔림 뒤집힘,1,116,0.9
사다리,넘어짐,1,116,0.9
사다리,맞음,1,116,0.9
고소작업대,떨어짐,86,114,75.4
고소작업대,끼임,21,114,18.4
고소작업대,깔림 뒤집힘,2,114,1.8
고소작업대,맞음(낙하물체),2,114,1.8
고소작업대,부딪힘 접촉,2,114,1.8
고소작업대,절단 베임 찔림,1,114,0.9
굴착기,깔림 뒤집힘,36,104,34.6
굴착기,부딪힘 접촉,25,104,24.0
굴착기,맞음,13,104,12.5
굴착기,끼임,11,104,10.6
굴착기,떨어짐,10,104,9.6
굴착기,맞음(낙하물체),8,104,7.7
굴착기,절단 베임 찔림,1,104,1.0
슬라브단부,떨어짐,88,92,95.7
슬라브단부,깔림 뒤집힘,2,92,2.2
슬라브단부,무너짐,1,92,1.1
슬라브단부,절단 베임 찔림,1,92,1.1
"지붕(채광판,선라이트)",떨어짐,90,90,100.0
작업발판/가설계단,떨어짐,80,85,94.1
작업발판/가설계단,맞음,2,85,2.4
작업발판/가설계단,부딪힘 접촉,2,85,2.4
작업발판/가설계단,끼임,1,85,1.2
거푸집,떨어짐,50,80,62.5
기계설비,떨어짐,34,80,42.5
기계설비,끼임,24,80,30.0
거푸집,깔림 뒤집힘,13,80,16.2
거푸집,맞음,9,80,11.2
기계설비,깔림 뒤집힘,8,80,10.0
기계설비,맞음,6,80,7.5
거푸집,절단 베임 찔림,4,80,5.0
거푸집,끼임,3,80,3.8
기계설비,부딪힘 접촉,3,80,3.8
거푸집,무너짐,1,80,1.2
기계설비,감전,1,80,1.2
기계설비,맞음(낙하물체),1,80,1.2
기계설비,무너짐,1,80,1.2
기계설비,산소결핍 질식,1,80,1.2
기계설비,폭발,1,80,1.2
개구부(바닥개구부),떨어짐,79,79,100.0
