공종,작업명,단위작업명,기인물,사고건수,단위작업명전체건수,비중(%)
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,"지붕(채광판,선라이트)",69,232,29.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,"지붕(처마,홈통)",55,232,23.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,고소작업대,14,232,6.0
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,사다리,11,232,4.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,외부마감재,11,232,4.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,천장(판넬 등 마감재),9,232,3.9
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,철골(철골구조물),8,232,3.4
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,슬라브단부,7,232,3.0
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,이동식비계,7,232,3.0
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,개구부(바닥개구부),5,232,2.2
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,이동식크레인,5,232,2.2
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,비계,4,232,1.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,작업발판/가설계단,4,232,1.7
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,개구부(기타개구부),3,232,1.3
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,기타구조물,3,232,1.3
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,"각재(파이프,강관,합판)",2,232,0.9
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,"기타자재(내부마감재,시멘트,마대)",2,232,0.9
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,달비계,2,232,0.9
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,벽체,2,232,0.9
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,엘리베이터피트,2,232,0.9
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,철골(철골자재),2,232,0.9
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,굴착기,1,232,0.4
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,기계설비,1,232,0.4
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,분류불능,1,232,0.4
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,"철근콘크리트자재(철근,콘크리트,PC)",1,232,0.4
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,충전부,1,232,0.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,기계설비,30,176,17.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,사다리,18,176,10.2
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,고소작업대,15,176,8.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,이동식비계,15,176,8.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,화학물질,12,176,6.8
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,개구부(바닥개구부),9,176,5.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,"지붕(채광판,선라이트)",9,176,5.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,작업발판/가설계단,8,176,4.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,기타구조물,7,176,4.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,"기타자재(내부마감재,시멘트,마대)",6,176,3.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,배관,6,176,3.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,리프트,4,176,2.3
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,"지붕(처마,홈통)",4,176,2.3
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,천장(판넬 등 마감재),4,176,2.3
"5. 전기, 기계설비공사",5.2 기계설비 작업,5.2.2 기계설비 설치,개구부(기타개구부),3,176,1.7
