공종,작업명,기인물,사고건수,작업명전체건수,비중(%)
4. 마감공사,4.8 판넬 등 외부마감 작업,"지붕(채광판,선라이트)",71,255,27.8
4. 마감공사,4.8 판넬 등 외부마감 작업,"지붕(처마,홈통)",63,255,24.7
4. 마감공사,4.8 판넬 등 외부마감 작업,고소작업대,16,255,6.3
4. 마감공사,4.8 판넬 등 외부마감 작업,외부마감재,13,255,5.1
4. 마감공사,4.8 판넬 등 외부마감 작업,사다리,12,255,4.7
4. 마감공사,4.8 판넬 등 외부마감 작업,천장(판넬 등 마감재),9,255,3.5
4. 마감공사,4.8 판넬 등 외부마감 작업,철골(철골구조물),9,255,3.5
4. 마감공사,4.8 판넬 등 외부마감 작업,개구부(바닥개구부),8,255,3.1
4. 마감공사,4.8 판넬 등 외부마감 작업,슬라브단부,8,255,3.1
4. 마감공사,4.8 판넬 등 외부마감 작업,이동식비계,7,255,2.7
4. 마감공사,4.8 판넬 등 외부마감 작업,이동식크레인,5,255,2.0
4. 마감공사,4.8 판넬 등 외부마감 작업,비계,4,255,1.6
4. 마감공사,4.8 판넬 등 외부마감 작업,작업발판/가설계단,4,255,1.6
4. 마감공사,4.8 판넬 등 외부마감 작업,개구부(기타개구부),3,255,1.2
4. 마감공사,4.8 판넬 등 외부마감 작업,기타구조물,3,255,1.2
4. 마감공사,4.8 판넬 등 외부마감 작업,충전부,3,255,1.2
4. 마감공사,4.8 판넬 등 외부마감 작업,"각재(파이프,강관,합판)",2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,"기타자재(내부마감재,시멘트,마대)",2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,달비계,2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,벽체,2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,엘리베이터피트,2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,철골(철골자재),2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,굴착기,1,255,0.4
4. 마감공사,4.8 판넬 등 외부마감 작업,기계설비,1,255,0.4
4. 마감공사,4.8 판넬 등 외부마감 작업,분류불능,1,255,0.4
4. 마감공사,4.8 판넬 등 외부마감 작업,"철근콘크리트자재(철근,콘크리트,PC)",1,255,0.4
4. 마감공사,4.8 판넬 등 외부마감 작업,트럭,1,255,0.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,기계설비,39,208,18.8
"5. 전기, 기계설비공사",5.2 기계설비 작업,사다리,21,208,10.1
"5. 전기, 기계설비공사",5.2 기계설비 작업,고소작업대,16,208,7.7
"5. 전기, 기계설비공사",5.2 기계설비 작업,이동식비계,15,208,7.2
"5. 전기, 기계설비공사",5.2 기계설비 작업,화학물질,12,208,5.8
"5. 전기, 기계설비공사",5.2 기계설비 작업,"지붕(채광판,선라이트)",11,208,5.3
"5. 전기, 기계설비공사",5.2 기계설비 작업,개구부(바닥개구부),9,208,4.3
"5. 전기, 기계설비공사",5.2 기계설비 작업,"기타자재(내부마감재,시멘트,마대)",9,208,4.3
"5. 전기, 기계설비공사",5.2 기계설비 작업,작업발판/가설계단,9,208,4.3
"5. 전기, 기계설비공사",5.2 기계설비 작업,기타구조물,8,208,3.8
"5. 전기, 기계설비공사",5.2 기계설비 작업,배관,8,208,3.8
"5. 전기, 기계설비공사",5.2 기계설비 작업,개구부(기타개구부),5,208,2.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,"지붕(처마,홈통)",5,208,2.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,리프트,4,208,1.9
"5. 전기, 기계설비공사",5.2 기계설비 작업,천장(판넬 등 마감재),4,208,1.9
"5. 전기, 기계설비공사",5.2 기계설비 작업,이동식크레인,3,208,1.4
"5. 전기, 기계설비공사",5.2 기계설비 작업,"각재(파이프,강관,합판)",2,208,1.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,계단,2,208,1.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,달비계,2,208,1.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,물,2,208,1.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,지게차,2,208,1.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,철골(철골구조물),2,208,1.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,충전부,2,208,1.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,트럭,2,208,1.0
"5. 전기, 기계설비공사",5.2 기계설비 작업,고정식크레인,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,굴착기,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,기타가설구조물,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,기타건설장비,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,말비계,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,바닥(바닥에 걸려 넘어짐),1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,분류불능,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,슬라브단부,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,암석,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,엘리베이터피트,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,용접(단)기,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,원인미상,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,절단기/톱,1,208,0.5
"5. 전기, 기계설비공사",5.2 기계설비 작업,철골(철골자재),1,208,0.5
2. 철근콘크리트공사,2.1 거푸집 작업,거푸집,60,180,33.3
2. 철근콘크리트공사,2.1 거푸집 작업,비계,19,180,10.6
2. 철근콘크리트공사,2.1 거푸집 작업,작업발판/가설계단,15,180,8.3
2. 철근콘크리트공사,2.1 거푸집 작업,슬라브단부,13,180,7.2
2. 철근콘크리트공사,2.1 거푸집 작업,개구부(바닥개구부),12,180,6.7
2. 철근콘크리트공사,2.1 거푸집 작업,동바리,8,180,4.4
2. 철근콘크리트공사,2.1 거푸집 작업,개구부(기타개구부),6,180,3.3
2. 철근콘크리트공사,2.1 거푸집 작업,"각재(파이프,강관,합판)",4,180,2.2
2. 철근콘크리트공사,2.1 거푸집 작업,계단,4,180,2.2
2. 철근콘크리트공사,2.1 거푸집 작업,분류불능,4,180,2.2
2. 철근콘크리트공사,2.1 거푸집 작업,"철근콘크리트자재(철근,콘크리트,PC)",4,180,2.2
2. 철근콘크리트공사,2.1 거푸집 작업,고정식크레인,3,180,1.7
2. 철근콘크리트공사,2.1 거푸집 작업,기타건설장비,2,180,1.1
2. 철근콘크리트공사,2.1 거푸집 작업,"기타자재(내부마감재,시멘트,마대)",2,180,1.1
2. 철근콘크리트공사,2.1 거푸집 작업,바닥(바닥에 걸려 넘어짐),2,180,1.1
2. 철근콘크리트공사,2.1 거푸집 작업,벽체,2,180,1.1
2. 철근콘크리트공사,2.1 거푸집 작업,사다리,2,180,1.1
2. 철근콘크리트공사,2.1 거푸집 작업,엘리베이터피트,2,180,1.1
2. 철근콘크리트공사,2.1 거푸집 작업,이동식비계,2,180,1.1
2. 철근콘크리트공사,2.1 거푸집 작업,이동식크레인,2,180,1.1
2. 철근콘크리트공사,2.1 거푸집 작업,리프트,1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,방망,1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,비계(일체형비계),1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,지게차,1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,"지붕(처마,홈통)",1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,철골(철골구조물),1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,철골(철골자재),1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,충전부,1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,토사,1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,트럭,1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,화학물질,1,180,0.6
2. 철근콘크리트공사,2.1 거푸집 작업,흙막이가시설,1,180,0.6
3. 철골공사,3.1 철골 작업,철골(철골구조물),78,167,46.7
3. 철골공사,3.1 철골 작업,철골(철골자재),26,167,15.6
3. 철골공사,3.1 철골 작업,고소작업대,16,167,9.6
3. 철골공사,3.1 철골 작업,개구부(바닥개구부),8,167,4.8
3. 철골공사,3.1 철골 작업,"각재(파이프,강관,합판)",4,167,2.4
3. 철골공사,3.1 철골 작업,개구부(기타개구부),4,167,2.4
3. 철골공사,3.1 철골 작업,사다리,4,167,2.4
3. 철골공사,3.1 철골 작업,"지붕(처마,홈통)",4,167,2.4
3. 철골공사,3.1 철골 작업,계단,3,167,1.8
3. 철골공사,3.1 철골 작업,슬라브단부,3,167,1.8
3. 철골공사,3.1 철골 작업,이동식비계,3,167,1.8
3. 철골공사,3.1 철골 작업,이동식크레인,3,167,1.8
3. 철골공사,3.1 철골 작업,기타건설장비,1,167,0.6
3. 철골공사,3.1 철골 작업,"기타자재(내부마감재,시멘트,마대)",1,167,0.6
3. 철골공사,3.1 철골 작업,동바리,1,167,0.6
3. 철골공사,3.1 철골 작업,바닥(바닥에 걸려 넘어짐),1,167,0.6
3. 철골공사,3.1 철골 작업,벽체,1,167,0.6
