공종,기인물,재해형태,사고건수,공종전체건수,비중(%),기인물 분류(VlookUp),구분(12대 기인물 = 중점관리대상),위험도 순위 (~12위),3년간 사고비중(19~21년)
4. 마감공사,"지붕(처마,홈통)",떨어짐,87,751,11.6,마감재,12대 기인물,3,7.1%
4. 마감공사,"지붕(채광판,선라이트)",떨어짐,73,751,9.7,마감재,12대 기인물,3,7.1%
4. 마감공사,달비계,떨어짐,66,751,8.8,비계,12대 기인물,8,3.7%
4. 마감공사,사다리,떨어짐,53,751,7.1,사다리,12대 기인물,4,6.9%
4. 마감공사,고소작업대,떨어짐,50,751,6.7,고소작업대,12대 기인물,6,4.9%
4. 마감공사,비계,떨어짐,41,751,5.5,비계,12대 기인물,4,6.9%
4. 마감공사,슬라브단부,떨어짐,40,751,5.3,슬라브단부,해당없음,해당없음,해당없음
4. 마감공사,이동식비계,떨어짐,39,751,5.2,이동식비계,12대 기인물,4,6.9%
4. 마감공사,작업발판/가설계단,떨어짐,28,751,3.7,작업발판/가설계단,12대 기인물,4,6.9%
4. 마감공사,개구부(바닥개구부),떨어짐,27,751,3.6,개구부,12대 기인물,1,9.0%
4. 마감공사,개구부(기타개구부),떨어짐,21,751,2.8,개구부,12대 기인물,1,9.0%
4. 마감공사,철골(철골구조물),떨어짐,19,751,2.5,건설자재,12대 기인물,2,8.5%
4. 마감공사,계단,떨어짐,15,751,2.0,계단,해당없음,해당없음,해당없음
4. 마감공사,말비계,떨어짐,15,751,2.0,말비계,12대 기인물,4,6.9%
4. 마감공사,벽체,떨어짐,11,751,1.5,벽체,해당없음,해당없음,해당없음
4. 마감공사,외부마감재,떨어짐,10,751,1.3,마감재,해당없음,해당없음,해당없음
4. 마감공사,천장(판넬 등 마감재),떨어짐,10,751,1.3,마감재,해당없음,해당없음,해당없음
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",떨어짐,9,751,1.2,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
4. 마감공사,기타구조물,떨어짐,8,751,1.1,기타구조물,해당없음,해당없음,해당없음
4. 마감공사,리프트,떨어짐,8,751,1.1,리프트,해당없음,해당없음,해당없음
4. 마감공사,이동식크레인,떨어짐,7,751,0.9,건설기계,12대 기인물,12,2.3%
4. 마감공사,고소작업대,끼임,7,751,0.9,고소작업대,12대 기인물,6,4.9%
4. 마감공사,엘리베이터피트,떨어짐,6,751,0.8,엘리베이터피트,해당없음,해당없음,해당없음
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",맞음,5,751,0.7,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
4. 마감공사,충전부,감전,5,751,0.7,전기,해당없음,해당없음,해당없음
4. 마감공사,화학물질,유해위험물질 노출 접촉,5,751,0.7,화학물질,해당없음,해당없음,해당없음
4. 마감공사,기계설비,끼임,4,751,0.5,기계설비,해당없음,해당없음,해당없음
4. 마감공사,화학물질,화재,4,751,0.5,화학물질,해당없음,해당없음,해당없음
4. 마감공사,"각재(파이프,강관,합판)",떨어짐,3,751,0.4,"각재(파이프,강관,합판)",해당없음,해당없음,해당없음
4. 마감공사,"각재(파이프,강관,합판)",맞음,3,751,0.4,"각재(파이프,강관,합판)",해당없음,해당없음,해당없음
4. 마감공사,지게차,끼임,3,751,0.4,건설기계,해당없음,해당없음,해당없음
4. 마감공사,굴착기,떨어짐,2,751,0.3,건설기계,12대 기인물,5,4.9%
4. 마감공사,기타건설장비,떨어짐,2,751,0.3,건설기계,해당없음,해당없음,해당없음
4. 마감공사,트럭,떨어짐,2,751,0.3,건설기계,12대 기인물,9,3.4%
4. 마감공사,철골(철골자재),떨어짐,2,751,0.3,건설자재,12대 기인물,2,8.5%
4. 마감공사,"철근콘크리트자재(철근,콘크리트,PC)",떨어짐,2,751,0.3,건설자재,해당없음,해당없음,해당없음
4. 마감공사,기계설비,맞음,2,751,0.3,기계설비,해당없음,해당없음,해당없음
4. 마감공사,기타건설기계기구,맞음,2,751,0.3,기타건설기계기구,해당없음,해당없음,해당없음
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",깔림 뒤집힘,2,751,0.3,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",끼임,2,751,0.3,"기타자재(내부마감재,시멘트,마대)",해당없음,해당없음,해당없음
