공종,작업명,단위작업명,기인물,재해형태,사고건수,단위작업명전체건수,비중(%),기인물 분류(VlookUp),구분(12대 기인물 = 중점관리대상),위험도 순위 (~12위),3년간 사고비중(19~21년)
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,"지붕(채광판,선라이트)",떨어짐,69,232,29.7,마감재,12대 기인물,3,7.1%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,"지붕(처마,홈통)",떨어짐,54,232,23.3,마감재,12대 기인물,3,7.1%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,고소작업대,떨어짐,13,232,5.6,고소작업대,12대 기인물,6,4.9%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,사다리,떨어짐,11,232,4.7,사다리,12대 기인물,4,6.9%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,천장(판넬 등 마감재),떨어짐,9,232,3.9,마감재,해당없음,해당없음,해당없음
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,철골(철골구조물),떨어짐,8,232,3.4,건설자재,12대 기인물,2,8.5%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,외부마감재,떨어짐,8,232,3.4,마감재,해당없음,해당없음,해당없음
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,슬라브단부,떨어짐,7,232,3.0,슬라브단부,해당없음,해당없음,해당없음
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,이동식비계,떨어짐,7,232,3.0,이동식비계,12대 기인물,4,6.9%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,개구부(바닥개구부),떨어짐,5,232,2.2,개구부,12대 기인물,1,9.0%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,이동식크레인,떨어짐,5,232,2.2,건설기계,12대 기인물,12,2.3%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,비계,떨어짐,4,232,1.7,비계,12대 기인물,4,6.9%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,작업발판/가설계단,떨어짐,4,232,1.7,작업발판/가설계단,12대 기인물,4,6.9%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,개구부(기타개구부),떨어짐,3,232,1.3,개구부,12대 기인물,1,9.0%
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,기타구조물,떨어짐,3,232,1.3,기타구조물,해당없음,해당없음,해당없음
4. 마감공사,4.8 판넬 등 외부마감 작업,4.8.2 판넬 등 외부마감 시공,"각재(파이프,강관,합판)",떨어짐,2,232,0.9,"각재(파이프,강관,합판)",해당없음,해당없음,해당없음
