공종,작업명,기인물,재해형태,사고건수,작업명전체건수,비중(%)
4. 마감공사,4.8 판넬 등 외부마감 작업,"지붕(채광판,선라이트)",떨어짐,71,255,27.8
4. 마감공사,4.8 판넬 등 외부마감 작업,"지붕(처마,홈통)",떨어짐,62,255,24.3
4. 마감공사,4.8 판넬 등 외부마감 작업,고소작업대,떨어짐,14,255,5.5
4. 마감공사,4.8 판넬 등 외부마감 작업,사다리,떨어짐,12,255,4.7
4. 마감공사,4.8 판넬 등 외부마감 작업,외부마감재,떨어짐,9,255,3.5
4. 마감공사,4.8 판넬 등 외부마감 작업,천장(판넬 등 마감재),떨어짐,9,255,3.5
4. 마감공사,4.8 판넬 등 외부마감 작업,철골(철골구조물),떨어짐,9,255,3.5
4. 마감공사,4.8 판넬 등 외부마감 작업,개구부(바닥개구부),떨어짐,8,255,3.1
4. 마감공사,4.8 판넬 등 외부마감 작업,슬라브단부,떨어짐,8,255,3.1
4. 마감공사,4.8 판넬 등 외부마감 작업,이동식비계,떨어짐,7,255,2.7
4. 마감공사,4.8 판넬 등 외부마감 작업,이동식크레인,떨어짐,5,255,2.0
4. 마감공사,4.8 판넬 등 외부마감 작업,비계,떨어짐,4,255,1.6
4. 마감공사,4.8 판넬 등 외부마감 작업,작업발판/가설계단,떨어짐,4,255,1.6
4. 마감공사,4.8 판넬 등 외부마감 작업,개구부(기타개구부),떨어짐,3,255,1.2
4. 마감공사,4.8 판넬 등 외부마감 작업,기타구조물,떨어짐,3,255,1.2
4. 마감공사,4.8 판넬 등 외부마감 작업,"각재(파이프,강관,합판)",떨어짐,2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,고소작업대,끼임,2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,"기타자재(내부마감재,시멘트,마대)",떨어짐,2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,달비계,떨어짐,2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,벽체,떨어짐,2,255,0.8
4. 마감공사,4.8 판넬 등 외부마감 작업,엘리베이터피트,떨어짐,2,255,0.8
